id,axis,level,views,model,grid,threshold,top_k,anno_mode,n_individuals,n_ok,pass1_s,pass2_s,pass3_s,load_s,total_s,status
baseline,baseline,baseline,6,base,60,otsu,5,5_animals,10,10,62.23,58.23,55.1,20.82,177.35,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,6,62.73,24.3,28.26,1.6,116.3,ok
model=small,model,small,6,small,60,otsu,5,5_animals,10,10,55.47,18.74,50.51,1.15,126.61,ok
model=large,model,large,6,large,60,otsu,5,5_animals,10,10,61.13,107.24,44.17,3.5,214.14,ok
model=huge,model,huge,6,huge,60,otsu,5,5_animals,10,10,49.18,196.82,41.35,7.13,289.07,ok
grid=30,grid,30,6,base,30,otsu,5,5_animals,10,10,51.25,8.8,41.85,1.59,102.8,ok
grid=90,grid,90,6,base,90,otsu,5,5_animals,10,10,56.66,116.75,45.51,0.96,221.61,ok
threshold=96,threshold,96,6,base,60,96,5,5_animals,10,10,52.34,35.62,43.76,1.03,133.69,ok
threshold=97,threshold,97,6,base,60,97,5,5_animals,10,10,50.25,36.51,42.97,1.4,131.66,ok
threshold=98,threshold,98,6,base,60,98,5,5_animals,10,10,48.41,37.51,42.71,1.4,130.52,ok
top_k=3,top_k,3,6,base,60,otsu,3,5_animals,10,10,58.96,37.18,42.94,1.09,140.78,ok
top_k=8,top_k,8,6,base,60,otsu,8,5_animals,10,10,60.57,35.38,49.34,1.01,147.12,ok
anno_mode=1_image,anno_mode,1_image,6,base,60,otsu,5,1_image,10,10,56.98,37.55,43.21,1.1,139.34,ok
anno_mode=1_animal,anno_mode,1_animal,6,base,60,otsu,5,1_animal,10,10,53.76,34.53,42.87,1.34,132.75,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,10,51.68,28.66,39.48,6.46,121.37,ok
