id,axis,level,views,model,grid,threshold,top_k,anno_mode,n_individuals,n_ok,pass1_s,pass2_s,pass3_s,load_s,total_s,status
baseline,baseline,baseline,6,base,60,otsu,5,5_animals,10,10,50.15,47.79,42.28,15.59,141.79,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,6,49.79,22.35,25.85,1.04,98.96,ok
model=small,model,small,6,small,60,otsu,5,5_animals,10,10,49.76,18.04,40.03,1.14,109.4,ok
model=large,model,large,6,large,60,otsu,5,5_animals,10,10,48.2,85.6,40.89,3.42,176.21,ok
model=huge,model,huge,6,huge,60,otsu,5,5_animals,10,10,51.23,203.79,49.49,6.99,306.06,ok
grid=30,grid,30,6,base,30,otsu,5,5_animals,10,10,52.75,8.83,43.11,1.53,105.58,ok
grid=90,grid,90,6,base,90,otsu,5,5_animals,10,10,56.71,111.06,41.81,1.6,212.21,ok
threshold=96,threshold,96,6,base,60,96,5,5_animals,10,10,54.36,34.41,40.96,1.9,131.53,ok
threshold=97,threshold,97,6,base,60,97,5,5_animals,10,10,42.83,33.53,36.1,1.94,114.22,ok
threshold=98,threshold,98,6,base,60,98,5,5_animals,10,10,42.62,33.11,35.5,1.57,113.0,ok
top_k=3,top_k,3,6,base,60,otsu,3,5_animals,10,10,48.22,32.65,43.62,1.24,126.0,ok
top_k=8,top_k,8,6,base,60,otsu,8,5_animals,10,10,52.94,38.93,44.82,1.59,138.33,ok
anno_mode=1_image,anno_mode,1_image,6,base,60,otsu,5,1_image,10,10,47.19,32.02,38.84,1.02,119.53,ok
anno_mode=1_animal,anno_mode,1_animal,6,base,60,otsu,5,1_animal,10,10,52.71,34.01,38.68,1.58,126.9,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,10,47.48,26.97,39.78,6.33,115.66,ok
