id,axis,level,views,model,grid,threshold,top_k,anno_mode,n_individuals,n_ok,pass1_s,pass2_s,pass3_s,load_s,total_s,status
baseline,baseline,baseline,6,base,60,otsu,5,5_animals,10,10,49.94,44.27,39.02,12.55,134.95,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,6,46.03,21.93,23.63,0.98,92.65,ok
model=small,model,small,6,small,60,otsu,5,5_animals,10,10,48.4,17.8,39.16,1.14,107.05,ok
model=large,model,large,6,large,60,otsu,5,5_animals,10,10,46.99,85.36,38.78,3.25,172.92,ok
model=huge,model,huge,6,huge,60,otsu,5,5_animals,10,10,46.89,186.74,43.59,7.01,279.06,ok
grid=30,grid,30,6,base,30,otsu,5,5_animals,10,10,53.13,9.39,45.28,1.81,108.88,ok
grid=90,grid,90,6,base,90,otsu,5,5_animals,10,10,57.45,113.14,43.28,1.44,216.75,ok
threshold=96,threshold,96,6,base,60,96,5,5_animals,10,10,44.05,34.63,39.64,1.51,120.35,ok
threshold=97,threshold,97,6,base,60,97,5,5_animals,10,10,43.2,33.66,36.55,1.46,115.42,ok
threshold=98,threshold,98,6,base,60,98,5,5_animals,10,10,45.91,34.87,41.77,1.41,124.32,ok
top_k=3,top_k,3,6,base,60,otsu,3,5_animals,10,10,49.68,34.12,46.31,1.6,131.88,ok
top_k=8,top_k,8,6,base,60,otsu,8,5_animals,10,10,53.3,33.79,43.19,1.0,132.04,ok
anno_mode=1_image,anno_mode,1_image,6,base,60,otsu,5,1_image,10,10,50.91,33.74,44.38,0.98,130.91,ok
anno_mode=1_animal,anno_mode,1_animal,6,base,60,otsu,5,1_animal,10,10,48.62,33.63,45.18,1.12,129.26,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,10,46.56,27.35,44.44,6.34,120.04,ok
