id,axis,level,views,model,grid,threshold,top_k,anno_mode,n_individuals,n_ok,pass1_s,pass2_s,pass3_s,load_s,total_s,status
baseline,baseline,baseline,6,base,60,otsu,5,5_animals,10,10,54.14,42.88,52.91,8.69,151.71,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,6,67.74,26.28,26.3,1.84,121.3,ok
model=small,model,small,6,small,60,otsu,5,5_animals,10,10,54.79,20.72,50.05,1.17,127.26,ok
model=large,model,large,6,large,60,otsu,5,5_animals,10,10,54.7,91.13,44.02,3.44,191.38,ok
model=huge,model,huge,6,huge,60,otsu,5,5_animals,10,10,49.48,197.92,44.15,7.3,293.25,ok
grid=30,grid,30,6,base,30,otsu,5,5_animals,10,10,50.11,8.98,43.47,1.68,103.48,ok
grid=90,grid,90,6,base,90,otsu,5,5_animals,10,10,51.94,113.9,44.21,1.01,212.5,ok
threshold=96,threshold,96,6,base,60,96,5,5_animals,10,10,45.3,36.37,39.98,1.67,123.42,ok
threshold=97,threshold,97,6,base,60,97,5,5_animals,10,10,45.5,35.17,38.71,1.72,121.11,ok
threshold=98,threshold,98,6,base,60,98,5,5_animals,10,10,47.32,34.35,39.13,1.0,122.47,ok
top_k=3,top_k,3,6,base,60,otsu,3,5_animals,10,10,49.81,34.03,43.18,0.99,128.56,ok
top_k=8,top_k,8,6,base,60,otsu,8,5_animals,10,10,50.13,34.72,42.72,1.59,129.08,ok
anno_mode=1_image,anno_mode,1_image,6,base,60,otsu,5,1_image,10,10,50.19,34.07,41.29,1.02,127.07,ok
anno_mode=1_animal,anno_mode,1_animal,6,base,60,otsu,5,1_animal,10,10,49.72,33.94,41.54,0.97,126.74,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,10,50.79,28.31,41.13,6.26,121.71,ok
