id,axis,level,views,model,grid,threshold,top_k,anno_mode,n_individuals,n_ok,pass1_s,pass2_s,pass3_s,load_s,total_s,status
baseline,baseline,baseline,6,base,60,otsu,5,5_animals,10,10,209.2,39.84,150.2,11.76,401.9,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,10,145.98,16.79,150.23,0.22,315.32,ok
model=small,model,small,6,small,60,otsu,5,5_animals,10,10,209.25,16.33,149.49,0.13,377.52,ok
model=large,model,large,6,large,60,otsu,5,5_animals,10,10,208.31,49.61,150.76,0.64,411.79,ok
model=huge,model,huge,6,huge,60,otsu,5,5_animals,10,10,208.31,103.2,149.87,1.37,464.42,ok
grid=30,grid,30,6,base,30,otsu,5,5_animals,10,10,71.91,6.64,58.99,0.23,139.07,ok
grid=90,grid,90,6,base,90,otsu,5,5_animals,10,10,429.49,67.93,297.26,0.22,799.17,ok
threshold=96,threshold,96,6,base,60,96,5,5_animals,10,10,276.9,25.58,193.76,0.22,499.22,ok
threshold=97,threshold,97,6,base,60,97,5,5_animals,10,10,263.28,26.94,184.31,0.22,477.55,ok
threshold=98,threshold,98,6,base,60,98,5,5_animals,10,10,245.48,26.51,170.62,0.43,445.67,ok
top_k=3,top_k,3,6,base,60,otsu,3,5_animals,10,10,208.35,25.96,150.09,0.21,387.06,ok
top_k=8,top_k,8,6,base,60,otsu,8,5_animals,10,10,208.45,25.22,150.13,0.21,386.59,ok
anno_mode=1_image,anno_mode,1_image,6,base,60,otsu,5,1_image,10,10,208.74,25.04,149.88,0.21,386.38,ok
anno_mode=1_animal,anno_mode,1_animal,6,base,60,otsu,5,1_animal,10,10,208.44,24.74,150.39,0.22,386.21,ok
