id,axis,level,views,model,grid,threshold,top_k,anno_mode,n_individuals,n_ok,pass1_s,pass2_s,pass3_s,load_s,total_s,status
baseline,baseline,baseline,6,base,60,otsu,5,5_animals,10,10,204.72,37.67,146.77,10.91,392.16,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,10,143.37,17.82,147.14,0.22,311.04,ok
model=small,model,small,6,small,60,otsu,5,5_animals,10,10,204.67,17.67,146.19,0.13,371.27,ok
model=large,model,large,6,large,60,otsu,5,5_animals,10,10,204.19,50.92,146.21,0.61,404.43,ok
model=huge,model,huge,6,huge,60,otsu,5,5_animals,10,10,203.66,93.88,146.71,1.37,447.69,ok
grid=30,grid,30,6,base,30,otsu,5,5_animals,10,10,71.08,7.22,57.14,0.23,137.14,ok
grid=90,grid,90,6,base,90,otsu,5,5_animals,10,10,418.34,75.69,291.37,0.22,790.58,ok
threshold=96,threshold,96,6,base,60,96,5,5_animals,10,10,257.37,27.09,177.24,0.21,464.85,ok
threshold=97,threshold,97,6,base,60,97,5,5_animals,10,10,242.36,27.42,161.63,0.21,434.68,ok
threshold=98,threshold,98,6,base,60,98,5,5_animals,10,10,207.5,28.08,146.26,0.21,384.9,ok
top_k=3,top_k,3,6,base,60,otsu,3,5_animals,10,10,205.21,26.98,147.8,0.21,382.99,ok
top_k=8,top_k,8,6,base,60,otsu,8,5_animals,10,10,203.72,27.53,147.89,0.37,382.18,ok
anno_mode=1_image,anno_mode,1_image,6,base,60,otsu,5,1_image,10,10,204.08,29.14,148.24,0.21,384.63,ok
anno_mode=1_animal,anno_mode,1_animal,6,base,60,otsu,5,1_animal,10,10,204.24,25.95,147.09,0.21,381.14,ok
