id,axis,level,views,model,grid,threshold,top_k,anno_mode,n_individuals,n_ok,pass1_s,pass2_s,pass3_s,load_s,total_s,status
baseline,baseline,baseline,6,base,60,otsu,5,5_animals,10,10,216.76,40.03,148.22,10.61,408.03,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,10,150.74,21.16,148.02,0.22,322.66,ok
model=small,model,small,6,small,60,otsu,5,5_animals,10,10,215.96,17.77,146.87,0.13,383.34,ok
model=large,model,large,6,large,60,otsu,5,5_animals,10,10,216.4,56.48,146.54,0.61,423.69,ok
model=huge,model,huge,6,huge,60,otsu,5,5_animals,10,10,215.55,105.35,146.75,1.35,471.08,ok
grid=30,grid,30,6,base,30,otsu,5,5_animals,10,10,74.47,8.38,59.71,0.23,144.24,ok
grid=90,grid,90,6,base,90,otsu,5,5_animals,10,10,445.33,74.44,291.03,0.21,815.84,ok
threshold=96,threshold,96,6,base,60,96,5,5_animals,10,10,337.8,29.9,203.47,0.21,574.47,ok
threshold=97,threshold,97,6,base,60,97,5,5_animals,10,10,294.18,30.26,177.44,0.38,505.26,ok
threshold=98,threshold,98,6,base,60,98,5,5_animals,10,10,235.12,30.65,149.43,0.21,418.43,ok
top_k=3,top_k,3,6,base,60,otsu,3,5_animals,10,10,216.67,29.74,146.6,0.21,395.98,ok
top_k=8,top_k,8,6,base,60,otsu,8,5_animals,10,10,215.89,30.27,147.02,0.21,396.87,ok
anno_mode=1_image,anno_mode,1_image,6,base,60,otsu,5,1_image,10,10,215.72,30.62,150.37,0.21,399.73,ok
anno_mode=1_animal,anno_mode,1_animal,6,base,60,otsu,5,1_animal,10,10,216.32,32.28,152.03,0.21,403.58,ok
