id,axis,level,views,model,grid,threshold,top_k,anno_mode,n_individuals,n_ok,pass1_s,pass2_s,pass3_s,load_s,total_s,status
baseline,baseline,baseline,6,base,60,otsu,5,5_animals,10,10,215.5,43.18,146.4,9.02,408.62,ok
views=4,views,4,4,base,60,otsu,5,5_animals,10,10,150.03,21.16,146.67,0.22,320.56,ok
model=small,model,small,6,small,60,otsu,5,5_animals,10,10,214.92,16.61,146.35,0.13,380.63,ok
model=large,model,large,6,large,60,otsu,5,5_animals,10,10,213.78,54.67,145.75,0.62,417.4,ok
model=huge,model,huge,6,huge,60,otsu,5,5_animals,10,10,214.35,101.34,146.3,1.38,465.38,ok
grid=30,grid,30,6,base,30,otsu,5,5_animals,10,10,73.61,9.9,58.16,0.23,143.37,ok
grid=90,grid,90,6,base,90,otsu,5,5_animals,10,10,445.11,81.54,288.37,0.21,820.29,ok
threshold=96,threshold,96,6,base,60,96,5,5_animals,10,10,240.78,30.03,154.89,0.22,428.85,ok
threshold=97,threshold,97,6,base,60,97,5,5_animals,10,10,215.1,31.64,144.38,0.37,394.15,ok
threshold=98,threshold,98,6,base,60,98,5,5_animals,10,10,210.28,31.69,142.87,0.21,388.1,ok
top_k=3,top_k,3,6,base,60,otsu,3,5_animals,10,10,213.42,28.12,145.87,0.21,390.48,ok
top_k=8,top_k,8,6,base,60,otsu,8,5_animals,10,10,214.71,28.11,146.71,0.21,392.54,ok
anno_mode=1_image,anno_mode,1_image,6,base,60,otsu,5,1_image,10,10,215.13,27.02,146.81,0.21,392.19,ok
anno_mode=1_animal,anno_mode,1_animal,6,base,60,otsu,5,1_animal,10,10,213.96,29.78,147.26,0.21,394.07,ok
